Tower section properties
39        n_secs:     number of tower sections at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)    (deg)    (kg/m)     (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)       (N)        (m)       (m)      (m)
 0.0 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.027881 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.055762 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.083643 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.111524 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.139405 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.167286 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.195167 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.223048 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.250929 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.27881 0.0 0.0 9517.140785 41979.156288 0.0 1037132096517.3698 0.0 797793920397.9767 235129360565.27493 0.0 0.0 0.0
 0.27882 0.0 0.0 4306.506205 19205.649282 0.0 474492511684.48065 0.0 364994239757.2928 106396035655.7874 0.0 0.0 0.0
 0.30553 0.0 0.0 4180.226678 17957.171251 0.0 443647760324.49194 0.0 341267507941.9169 103276188511.84084 0.0 0.0 0.0
 0.332241 0.0 0.0 4055.70072 16769.794468 0.0 414312569205.1823 0.0 318701976311.6787 100199664835.57225 0.0 0.0 0.0
 0.358951 0.0 0.0 3932.92833 15641.525751 0.0 386437695021.1319 0.0 297259765400.8707 97166464626.9834 0.0 0.0 0.0
 0.385661 0.0 0.0 3811.90951 14570.40422 0.0 359974692485.8727 0.0 276903609604.51746 94176587886.07191 0.0 0.0 0.0
 0.412372 0.0 0.0 3692.644258 13554.501294 0.0 334875914331.9638 0.0 257596857178.43365 91230034612.84073 0.0 0.0 0.0
 0.439082 0.0 0.0 3575.132576 12591.920696 0.0 311094511310.922 0.0 239303470239.17078 88326804807.28635 0.0 0.0 0.0
